City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Castro,BR,2020-07-09 15:46:13,-24.79,-50.01,59.31,49,90,6.55
70,Dikson,RU,2020-07-09 15:50:33,73.51,80.55,44.49,81,0,17.22
71,Tasiilaq,GL,2020-07-09 15:50:21,65.61,-37.64,53.6,40,75,14.99
72,Bilma,NE,2020-07-09 15:50:40,18.69,12.92,106.74,11,66,3.83
73,Hambantota,LK,2020-07-09 15:50:39,6.12,81.12,78.8,100,20,2.24
74,Hobart,AU,2020-07-09 15:48:47,-42.88,147.33,39.2,93,0,6.93
75,Khatanga,RU,2020-07-09 15:50:22,71.97,102.5,58.06,59,8,19.73
76,Lingao,CN,2020-07-09 15:51:36,19.91,109.69,84.42,71,100,12.19
77,Viedma,AR,2020-07-09 15:53:00,-40.81,-63.0,51.51,45,100,21.97
78,Mareeba,AU,2020-07-09 15:51:20,-17.0,145.43,70.0,91,52,1.01
79,Hobyo,SO,2020-07-09 15:53:00,5.35,48.53,79.07,75,81,25.75
80,Palmer,US,2020-07-09 15:51:27,42.16,-72.33,87.01,65,40,4.7
81,Sumenep,ID,2020-07-09 15:53:00,-7.02,113.87,79.47,79,62,7.96
82,Sao Raimundo Nonato,BR,2020-07-09 15:53:00,-9.02,-42.7,86.16,45,93,6.35
83,Shizunai,JP,2020-07-09 15:53:00,42.33,142.37,62.85,79,82,2.21
84,Hami,CN,2020-07-09 15:50:25,42.8,93.45,82.29,18,11,16.78
85,Puerto Leguizamo,CO,2020-07-09 15:53:01,-0.19,-74.78,87.75,58,72,2.39
86,Santa Ines,BR,2020-07-09 15:53:01,-3.67,-45.38,87.8,56,11,5.93
87,Celestun,MX,2020-07-09 15:51:27,20.87,-90.4,87.39,61,0,4.03
88,Tura,IN,2020-07-09 15:50:12,25.52,90.22,76.12,96,92,5.84
89,Chuy,UY,2020-07-09 15:50:19,-33.7,-53.46,50.58,71,60,13.87
90,Mandiana,GN,2020-07-09 15:53:01,10.63,-8.68,85.32,66,92,7.63
91,Nobres,BR,2020-07-09 15:53:02,-14.72,-56.33,87.06,39,19,4.88
92,Kaitangata,NZ,2020-07-09 15:50:29,-46.28,169.85,46.99,72,58,8.01
93,San Jeronimo,PE,2020-07-09 15:53:02,-11.95,-75.28,54.45,47,80,2.24
94,Husum,DE,2020-07-09 15:53:02,54.49,9.05,59.0,67,100,6.93
95,Clyde River,CA,2020-07-09 15:50:55,70.47,-68.59,48.2,81,75,11.41
96,Novokizhinginsk,RU,2020-07-09 15:53:02,51.61,109.59,59.38,92,100,2.75
97,Nuuk,GL,2020-07-09 15:50:55,64.18,-51.72,51.8,87,75,33.33
98,Wajima,JP,2020-07-09 15:50:13,37.4,136.9,72.07,86,100,7.96
99,Bandarbeyla,SO,2020-07-09 15:50:25,9.49,50.81,80.01,71,100,33.89
100,Tuktoyaktuk,CA,2020-07-09 15:50:29,69.45,-133.04,35.6,93,90,9.17
101,Butaritari,KI,2020-07-09 15:50:11,3.07,172.79,83.21,76,5,17.09
102,Baijiantan,CN,2020-07-09 15:53:03,45.63,85.18,85.35,19,98,9.35
103,Garden City,US,2020-07-09 15:52:58,42.33,-83.33,89.01,62,40,9.17
104,Avarua,CK,2020-07-09 15:50:14,-21.21,-159.78,75.2,69,76,14.99
105,Zabol,AF,2020-07-09 15:53:04,32.25,67.25,76.8,15,0,14.45
