,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Campo Grande,BR,84.2,clear sky,-20.44,-54.65,Hotel Harbor Self Buriti Suítes Campo Grande
464,Wattegama,LK,78.8,few clouds,6.8,81.48,Kebiliththa.jetsafari Monaragala
465,Itarema,BR,82.27,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
466,Sidney,AU,53.01,fog,-33.87,151.21,QT Sydney
467,Saltpond,GH,75.15,broken clouds,5.21,-1.06,Mfantseman Beach Resort
468,Harnosand,SE,66.99,overcast clouds,62.63,17.94,First Hotel Stadt
469,Fare,PF,78.51,broken clouds,-16.7,-151.02,Maitai Lapita Village Huahine
470,Lapy,PL,57.99,overcast clouds,52.99,22.88,Hotel robotniczy
472,Rexburg,US,82.0,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
474,Conde,BR,73.4,light rain,-7.26,-34.91,Pousada Beija Flor
475,Aleksandrov Gay,RU,79.63,clear sky,50.15,48.57,
476,Uige,AO,71.82,clear sky,-7.61,15.06,Juliao Pereira
477,Bulungu,CD,84.74,broken clouds,-4.55,18.6,
478,Cartagena,CO,82.4,broken clouds,10.4,-75.51,Hotel Capilla del Mar
479,Saint-Georges,GD,87.8,scattered clouds,12.06,-61.75,Radisson Grenada Beach Resort
480,Vao,NC,69.53,few clouds,-22.67,167.48,Hotel Kou-Bugny
481,Olinda,BR,75.2,light rain,-8.01,-34.86,Flat Quatro Rodas Olinda
483,Negara,ID,75.67,overcast clouds,-8.32,114.6,Jati Hotel
484,Hagi,JP,72.0,overcast clouds,34.4,131.42,Hagi Ichirin
485,Sandwick,GB,53.6,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
487,Maromitsa,RU,62.91,overcast clouds,59.87,48.01,
488,Rovnoye,RU,70.52,clear sky,50.78,46.05,
489,Vanimo,PG,76.91,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
490,Katherine,AU,69.8,clear sky,-14.47,132.27,Pine Tree Motel
491,Horezu,RO,64.96,clear sky,45.15,24.02,Restaurant Doi Cocosi
492,Ketchikan,US,55.4,overcast clouds,55.34,-131.65,Snows Cove Lodge
493,Guadalupe Y Calvo,MX,79.41,overcast clouds,26.1,-106.97,Hotel Pizarro
494,Roald,NO,53.6,shower rain,62.58,6.13,Flem Cabins
496,Hobyo,SO,79.34,overcast clouds,5.35,48.53,Osmani Hotel
500,Balkhash,KZ,70.81,clear sky,46.84,74.98,Family
501,Klaksvik,FO,51.8,mist,62.23,-6.59,Airbnb rooms
503,Gizo,SB,82.11,broken clouds,-8.1,156.84,Imagination Island
505,San Ignacio,BZ,89.6,scattered clouds,17.16,-89.07,Rumors Resort Hotel
509,Westport,US,86.0,clear sky,41.14,-73.36,Hilton Garden Inn Norwalk
510,Belaya Gora,RU,65.64,overcast clouds,68.53,146.42,
511,Ordzhonikidze,KZ,71.74,few clouds,52.44,61.74,Gostinitsa
512,Carlagan,PH,81.64,broken clouds,14.97,122.05,
513,San Julian,MX,77.18,scattered clouds,21.02,-102.17,La Nueva España
514,Gouyave,GD,87.8,scattered clouds,12.16,-61.73,Rumboat Retreat
515,Buala,SB,80.64,overcast clouds,-8.14,159.59,Maringe Lagoon Lodge
516,Puerto Leguizamo,CO,78.53,overcast clouds,-0.19,-74.78,la casona de juancho
519,Siddipet,IN,77.36,overcast clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
520,Jamame,SO,78.4,overcast clouds,0.07,42.75,
522,Bluefield,US,82.0,broken clouds,37.27,-81.22,Economy Inn
523,Verkhoyansk,RU,66.72,scattered clouds,67.54,133.38,
524,Soe,ID,62.89,overcast clouds,-9.86,124.28,Dena Hotel
526,Korla,CN,82.0,clear sky,41.76,86.15,Gulisitan Hotel
527,Beinamar,TD,75.2,overcast clouds,8.67,15.38,
528,Sheopur,IN,88.9,few clouds,25.67,76.7,Hotel Bismillah
529,Soligalich,RU,66.74,scattered clouds,59.08,42.29,Kurort Im. A.p. Borodina
530,Port Hawkesbury,CA,70.0,overcast clouds,45.62,-61.35,Hearthstone Inn Port Hawkesbury
531,Ghugus,IN,83.98,overcast clouds,19.93,79.13,Rajiv Colony Tempo Club
532,Cariamanga,EC,69.17,scattered clouds,-4.33,-79.55,Bermeo Plaza Hotel
533,Luanda,AO,71.6,overcast clouds,-8.84,13.23,EPIC SANA Luanda
534,Lexington,US,86.0,scattered clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
535,North Bend,US,66.0,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
536,Bac Lieu,VN,80.53,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
537,Borovichi,RU,58.98,clear sky,58.39,33.92,Gostinitsa Vintazh
538,Lumsden,CA,71.6,broken clouds,50.65,-104.87,Lumsden Hotel & Steak Pit
539,Ambilobe,MG,70.05,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
540,Stonewall,CA,75.2,few clouds,50.13,-97.33,Rockwood Motor Inn & Motel
541,Kastamonu,TR,59.2,clear sky,41.5,33.67,Sadibey Ciftligi
542,Turukhansk,RU,51.26,broken clouds,65.82,87.98,"ООО ""Туруханская пушнина"""
543,Lorengau,PG,81.48,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
544,Hibbing,US,75.2,broken clouds,47.43,-92.94,Hibbing Park Hotel and Suites
545,New Richmond,US,82.4,scattered clouds,45.12,-92.54,"Asteria Inn & Suites, New Richmond"
546,Abay,KZ,55.4,clear sky,49.63,72.85,Guest House on Abaya 144
547,Mehamn,NO,51.8,overcast clouds,71.04,27.85,Mehamn Arctic Hotel AS
549,Glace Bay,CA,75.0,broken clouds,46.2,-59.96,Cedarwoods Bed & Breakfast
550,Kaseda,JP,78.8,broken clouds,31.42,130.32,Sun Stay Kaseda
551,Urengoy,RU,53.13,clear sky,65.97,78.37,Gostinnitsa Medveditsa
552,La Palma,US,89.6,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
554,San Juan Chamelco,GT,79.2,clear sky,15.43,-90.33,Hotel Xucaneb
555,Weihe,CN,60.55,broken clouds,33.0,105.32,
556,Tromso,NO,59.0,scattered clouds,69.65,18.96,"Radisson Blu Hotel, Tromsø"
557,Taguatinga,BR,84.38,overcast clouds,-12.39,-46.57,
559,Port-Cartier,CA,75.2,scattered clouds,50.03,-66.87,Le Q'Artier
560,San Fernando,PH,81.0,overcast clouds,15.03,120.69,Sky Hotel
561,Maicao,CO,89.37,broken clouds,11.38,-72.24,Hotel Fronterita
562,Cabedelo,BR,73.4,light rain,-6.98,-34.83,Lua Mansa Pousada
563,Half Moon Bay,US,78.01,haze,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
565,Inhambane,MZ,77.0,scattered clouds,-23.86,35.38,Oceano
566,Price,US,89.6,clear sky,39.6,-110.81,National 9 - Price River Inn
567,Kemijarvi,FI,54.1,clear sky,66.71,27.43,Hotelli Kemijärvi
569,Tianpeng,CN,79.0,overcast clouds,30.99,103.94,Shuangliu Love Home Business Hotel
